Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Page 72,,"the confidence I’d managed to develop didn’t come from a perfect family or God-given talent. It came from personal accountability which brought me self respect, and self respect will always light a way forward.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 84,,I knew I was a quitter who had let fear dictate my future., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 87,,"“In a society where mediocrity is too often the standard and too often rewarded,” he said, “there is intense fascination with men who detest mediocrity, who refuse to define themselves in conventional terms, and who seek to transcend traditionally recognized human capabilities. This is exactly the type of person BUD/S is meant to find. The man who finds a way to complete each and every task to the best of his ability. The man who will adapt and overcome any and all obstacles.”", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 91,,"What the fuck? I mean, seriously, what the fucking fuck? When was enough truly going to be enough? Was I willing to let my sorry present become a fucked-up future? How much longer would I wait, how many more years would I burn, wondering if there was some greater purpose out there waiting for me? I knew right then that if I didn’t make a stand and start walking the path of most resistance, I would end up in this mental hell forever.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 93,,"if I continued to surrender to my fear and my feelings of inadequacy, I would be allowing them to dictate my future forever.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 93,,"not all physical and mental limitations are real, and that I had a habit of giving up way too soon.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 95,,"When depression smothers you, it blots out all light and leaves you with nothing to cling onto for hope. All you see is negativity. For me, the only way to make it through that was to feed off my depression. I had to flip it and convince myself that all that self-doubt and anxiety was confirmation that I was no longer living an aimless life. My task may turn out to be impossible but at least I was back on a motherfucking mission.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 96,,"“You cut corners and you are not gonna fucking make it,” I said, out loud, as I drove back to the gym. “There are no shortcuts for you, Goggins!”", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 96,,"Whenever I cut a run or swim short because I was hungry or tired, I’d always go back and beat myself down even harder. That was the only way I could manage the demons in my mind. Either way there would be suffering. I had to choose between physical suffering in the moment, and the mental anguish of wondering if that one missed pull-up, that last lap in the pool, the quarter mile I skipped on the road or trail, would end up costing me an opportunity of a lifetime.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 100,,"I ran as fast as I could for as long as I could, from a past that no longer defined me, toward a future undetermined. All I knew was that there would be pain and there would be purpose.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 114,,"Everything in life is a mind game! Whenever we get swept under by life’s dramas, large and small, we are forgetting that no matter how bad the pain gets, no matter how harrowing the torture, all bad things end. That forgetting happens the second we give control over our emotions and actions to other people, which can easily happen when pain is peaking.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 119,,"“Taking Souls.” I turned to Brown. “You know why I call you Freak?” I asked. He looked over as we lowered the boat, then lifted it up overhead like creaky robots on reserve battery power. “Because you are one of the baddest men I’ve ever seen in my damn life!” He cracked a smile. “And you know what I say to these motherfuckers right here?” I tipped my elbow at the nine instructors gathered on the beach, drinking coffee and talking bullshit. “I say, they can go fuck themselves!” Bill nodded and narrowed his eyes on our tormentors, while I turned to the rest of the crew. “Now let’s throw this shit up high and show them who we are!” “Fucking beautiful,” Bill said. “Let’s do it!” Within seconds my whole team had life.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 122,,"“Why am I here?” If you know that moment is coming and have your answer ready, you will be equipped to make the split second-decision to ignore your weakened mind and keep moving. Know why you’re in the fight to stay in the fight!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 122,,all emotional and physical anguish is finite! It all ends eventually. Smile at pain and watch it fade for at least a second or two., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 122,,the ticket to victory often comes down to bringing your very best when you feel your worst., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 136,,"I stopped seeing myself as the victim of bad circumstance, and saw my life as the ultimate training ground instead. My disadvantages had been callousing my mind all along and had prepared me for that moment", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 136,,"after thousands of reps, my palms built up a thick callous as protection. The same principle works when it comes to mindset. Until you experience hardships like abuse and bullying, failures and disappointments, your mind will remain soft and exposed. Life experience, especially negative experiences, help callous the mind. But it’s up to you where that callous lines up. If you choose to see yourself as a victim of circumstance into adulthood, that callous will become resentment that protects you from the unfamiliar. It will make you too cautious and untrusting, and possibly too angry at the world. It will make you fearful of change and hard to reach, but not hard of mind.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 136,,"I’d fought through so many horrible situations by then and remained open and ready for more. My ability to stay open represented a willingness to fight for my own life, which allowed me to withstand hail storms of pain and use it to callous over my victim’s mentality.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 137,,"Hell Week is designed to show you that a human is capable of much more than you know. It opens your mind to the true possibilities of human potential, and with that comes a change in your mentality. You no longer fear cold water or doing push-ups all day.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 139,,"Similar to using an opponent’s energy to gain an advantage, leaning on your calloused mind in the heat of battle can shift your thinking as well. Remembering what you’ve been through and how that has strengthened your mindset can lift you out of a negative brain loop and help you bypass those weak, one-second impulses to give in so you can power through obstacles. And when you leverage a calloused mind like I did around the pool that day and keep fighting through pain, it can help you push your limits", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 140,,"Remembering that you’ve been through difficulties before and have always survived to fight again shifts the conversation in your head. It will allow you to control and manage doubt, and keep you focused on taking each and every step necessary to achieve the task at hand.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 141,,The reason it’s important to push hardest when you want to quit the most is because it helps you callous your mind. It’s the same reason why you have to do your best work when you are the least motivated., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 142,,failure is a part of life and now we all had to press on., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 144,,"The cost of quitting would be lifelong purgatory. I’d be trapped in the knowing that I didn’t stay in the fight to the bitter end. There is no shame in getting knocked out. The shame comes when you throw in the motherfucking towel,", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 147,,"In a human being your character is your foundation, and when you build a bunch of successes and pile up even more failures on a fucked-up foundation, the structure that is the self won’t be sound. To develop an armored mind—a mindset so calloused and hard that it becomes bulletproof—you need to go to the source of all your fears and insecurities.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 147,,"Most of us sweep our failures and evil secrets under the rug, but when we run into problems, that rug gets lifted up, and our darkness re-emerges, floods our soul, and influences the decisions which determine our character.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 147,,"Even after I’d reached a point where I no longer cared about what others thought of me, I still had trouble accepting me.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 147,,"Anyone who is of sound mind and body can sit down and think of twenty things in their life that could have gone differently. Where maybe they didn’t get a fair shake and where they took the path of least resistance. If you’re one of the few who acknowledge that, want to callous those wounds, and strengthen your character, its up to you to go back through your past and make peace with yourself by facing those incidents and all of your negative influences, and accepting them as weak spots in your own character. Only when you identify and accept your weaknesses will you finally stop running from your past. Then those incidents can be used more efficiently as fuel to become better and grow stronger.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 149,,"like the Taoists say, those that know don’t speak, and those who speak, well, they don’t know jack shit.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 157,,"when the pain did show up, I told myself it was proof of how tough I was and how much tougher I was becoming.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 162,,"Before I engage in any challenging activity, I start by painting a picture of what my success looks and feels like. I’ll think about it every day and that feeling propels me forward when I’m training, competing, or taking on any task I choose.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 188,,"the Cookie Jar became a concept I’ve employed whenever I need a reminder of who I am and what I’m capable of. We all have a cookie jar inside us, because life, being what it is, has always tested us. Even if you’re feeling low and beat down by life right now, I guarantee you can think of a time or two when you overcame odds and tasted success. It doesn’t have to be a big victory either. It can be something small.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 189,,"The engine in a rocket ship does not fire without a small spark first. We all need small sparks, small accomplishments in our lives to fuel the big ones.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 189,,"Think of your small accomplishments as kindling. When you want a bonfire, you don’t start by lighting a big log. You collect some witch’s hair—a small pile of hay or some dry, dead grass. You light that, and then add small sticks and bigger sticks before you feed your tree stump into the blaze. Because it’s the small sparks, which start small fires, that eventually build enough heat to burn the whole fucking forest down.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 189,,"I also praised myself whenever I could claim a small victory, because we all need that, and very few of us take the time to celebrate our successes.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 201,,"We habitually settle for less than our best; at work, in school, in our relationships, and on the playing field or race course. We settle as individuals, and we teach our children to settle for less than their best, and all of that ripples out, merges, and multiplies within our communities and society as a whole.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 203,,"I loved waking up at 5 a.m. and starting work with three hours of cardio already in the bank while most of my teammates hadn’t even finished their coffee. It gave me a mental edge, a better sense of self-awareness, and a ton of self-confidence, which made me a better SEAL instructor. That’s what getting up at the ass crack of dawn and putting out will do for you. It makes you better in all facets of your life.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 209,,"I’m not down with the prevailing mentalities that tend to dominate American society these days; the ones that tell us to go with the flow or invite us to learn how to get more with less effort. Fuck that shortcut bullshit. The reason I embrace my own obsessions and demand and desire more of myself is because I’ve learned that it’s only when I push beyond pain and suffering, past my perceived limitations, that I’m capable of accomplishing more, physically and mentally—in endurance races but also in life as a whole.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 210,,"Sadly, most of us give up when we’ve only given around 40 percent of our maximum effort. Even when we feel like we’ve reached our absolute limit, we still have 60 percent more to give! That’s the governor in action! Once you know that to be true, it’s simply a matter of stretching your pain tolerance, letting go of your identity and all your self-limiting stories, so you can get to 60 percent, then 80 percent and beyond without giving up. I call this The 40% Rule, and the reason it’s so powerful is that if you follow it, you will unlock your mind to new levels of performance and excellence in sports and in life, and your rewards will run far deeper than mere material success.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 211,,"I know how it feels to be approaching an energetic dead end. I’ve been there too many times to count. I understand the temptation to sell short, but I also know that impulse is driven by your mind’s desire for comfort, and it’s not telling you the truth. It’s your identity trying to find sanctuary, not help you grow. It’s looking for status quo, not reaching for greatness or seeking wholeness.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 211,,"the only way to move beyond your 40 percent is to callous your mind, day after day. Which means you’ll have to chase pain like it’s your damn job!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 212,,"The first step is to remember that your initial blast of pain and fatigue is your governor talking. Once you do that, you are in control of the dialogue in your mind, and you can remind yourself that you are not as drained as you think. That you haven’t given it your all. Not even close. Buying into that will keep you in the fight, and that’s worth an extra 5 percent.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 212,,fatigue makes cowards of us all”, David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 213,,"staying in the fight is always the hardest, and most rewarding, first step.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 213,,"every failure there is something to be gained, even if it’s only practice for the next test you’ll have to take. Because that next test is coming. That’s a guarantee.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 214,,"I just wanted to quit, but by moving a little bit further I’d reset my brain. I’d calmed down and realized I could chunk the race down to size, and staying in the game like that gave me hope, and hope is addictive.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 215,,"We don’t all have the same floor or ceiling, but we each have a lot more in us than we know, and when it comes to endurance sports like ultra running, everyone can achieve feats they once thought impossible. In order to do that we must change our minds, be willing to scrap our identity, and make the extra effort to always find more in order to become more.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 218,,"the Cookie Jar. We must create a system that constantly reminds us who the fuck we are when we are at our best, because life is not going to pick us up when we fall. There will be forks in the road, knives in your fucking back, mountains to climb, and we are only capable of living up to the image we create for ourselves.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 219,,"Goggins’ laws of nature: You will be made fun of. You will feel insecure. You may not be the best all the time. You may be the only black, white, Asian, Latino, female, male, gay, lesbian or [fill in your identity here] in a given situation. There will be times when you feel alone. Get over it!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 221,,It takes a lot of will to push yourself when you are all alone., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 221,,"if you are on the hunt for your 100 percent you should catalog your weaknesses and vulnerabilities. Don’t ignore them. Be prepared for them, because in any endurance event, in any high-stress environment, your weaknesses will surface like bad karma, build in volume, and overwhelm you. Unless you get ahead of them first.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 231,,"Whether you are running on a treadmill or doing a set of push-ups, get to the point where you are so tired and in pain that your mind is begging you to stop. Then push just 5 to 10 percent further.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 231,,"There is so much pain and suffering involved in physical challenges that it’s the best training to take command of your inner dialogue, and the newfound mental strength and confidence you gain by continuing to push yourself physically will carry over to other aspects in your life.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 231,,The bottom line is that life is one big mind game. The only person you are playing against is yourself. Stick with this process and soon what you thought was impossible will be something you do every fucking day of your life., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 249,,"Our culture has become hooked on the quick-fix, the life hack, efficiency. Everyone is on the hunt for that simple action algorithm that nets maximum profit with the least amount of effort. There’s no denying this attitude may get you some of the trappings of success, if you’re lucky, but it will not lead to a calloused mind or self-mastery. If you want to master the mind and remove your governor, you’ll have to become addicted to hard work. Because passion and obsession, even talent, are only useful tools if you have the work ethic to back them up.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 249,,"The 40% Rule applies. To me, a forty-hour work week is a 40 percent effort. It may be satisfactory, but that’s another word for mediocrity. Don’t settle for a forty-hour work week. There are 168 hours in a week! That means you have the hours to put in that extra time at work without skimping on your exercise. It means streamlining your nutrition, spending quality time with your wife and kids. It means scheduling your life like you’re on a twenty-four-hour mission every single day.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 249,,"When I was full-time with the SEALs I maximized the dark hours before dawn. When my wife was sleeping, I would bang out a six- to ten-mile run. My gear was all laid out the night before, my lunch was packed, and my work clothes were in my locker at work where I’d shower before my day started at 7:30 a.m. On a typical day, I’d be out the door for my run just after 4 a.m. and back by 5:15 a.m. Since that wasn’t enough for me, and because we only owned one car, I rode my bike (I finally got my own shit!) twenty-five miles to work. I’d work from 7:30 a.m. to noon, and eat at my desk before or after my lunch break. During the lunch hour I’d hit the gym or do a four- to six-mile beach run, work the afternoon shift and hop on my bike for the twenty-five-mile ride home. By the time I was home at 7 p.m., I’d have run about fifteen miles, rocked fifty miles on the bike, and put in a full day at the office. I was always home for dinner and in bed by 10 p.m. so I could do it all over again the next day. On Saturdays I’d sleep in until 7 a.m., hit a three-hour workout, and spend the rest of the weekend with Kate. If I didn’t have a race, Sundays were my active recovery days. I’d do an easy ride at a low heart rate, keeping my pulse below 110 beats per minute to stimulate healthy blood flow.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 251,,"he makes time to get it all in by minimizing the amount of bullshit clogging his schedule. His priorities are clear, and he remains dedicated to his priorities. I’m not talking about general priorities here either. Each hour of his week is dedicated to a particular task and when that hour shows up in real time, he focuses 100 percent on that task.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 251,,"When you find yourself having frivolous conversations or becoming ensnared in activities that don’t better you in any way, move the fuck on!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 251,,"It’s up to you to find ways to eviscerate your bullshit. How much time do you spend at the dinner table talking about nothing after the meal is done? How many calls and texts do you send for no reason at all? Look at your whole life, list your obligations and tasks. Put a time stamp on them. How many hours are required to shop, eat, and clean? How much sleep do you need? What’s your commute like? Can you make it there under your own power? Block everything into windows of time, and once your day is scheduled out, you’ll know how much flexibility you have to exercise on a given day and how to maximize it.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 252,,"That means listing your prioritized tasks every hour of the day. You can even narrow it down to fifteen-minute windows, and don’t forget to include backstops in your day-to-day schedule.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 252,,"You need backstops in your day-to-day schedule too. If one task bleeds into overtime, make sure you know it, and begin to transition into your next prioritized task straight away.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 252,,"But remember that you also need rest, so schedule that in. Listen to your body, sneak in those ten- to twenty-minute power naps when necessary, and take one full rest day per week. If it’s a rest day, truly allow your mind and body to relax. Turn your phone off. Keep the computer shut down. A rest day means you should be relaxed, hanging with friends or family, and eating and drinking well, so you can recharge and get back at it. It’s not a day to lose yourself in technology or stay hunched at your desk in the form of a damn question mark.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 256,,"If you get injured or other complications arise that prevent you from working on your primary passion, refocus your energy elsewhere. The activities we pursue tend to be our strengths because its fun to do what we’re great at. Very few people enjoy working on their weaknesses, so if you’re a terrific runner with a knee injury that will prevent you from running for twelve weeks, that is a great time to get into yoga, increasing your flexibility and your overall strength, which will make you a better and less injury-prone athlete.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 256,,"The point is not to allow a setback to shatter our focus, or our detours to dictate our mindset. Always be ready to adjust, recalibrate, and stay after it to become better, somehow.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 270,,"It wasn’t important who won because everybody was capping personal bests almost every day, and that’s what stayed with me. The power of a competitive environment to amp up an entire platoon’s commitment and achievement!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 278,,"No matter who you are, life will present you similar opportunities where you can prove to be uncommon. There are people in all walks of life who relish those moments, and when I see them I recognize them immediately because they are usually that motherfucker who’s all by himself. It’s the suit who’s still at the office at midnight while everyone else is at the bar, or the badass who hits the gym directly after coming off a forty-eight-hour op. She’s the wildland firefighter who instead of hitting her bedroll, sharpens her chainsaw after working a fire for twenty-four hours. That mentality is there for all of us. Man, woman, straight, gay, black, white, or purple fucking polkadot. All of us can be the person who flies all day and night only to arrive home to a filthy house, and instead of blaming family or roommates, cleans it up right then because they refuse to ignore duties undone.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 278,,"It’s about wanting it like there’s no tomorrow—because there might not be. It’s about thinking of everybody else before yourself and developing your own code of ethics that sets you apart from others. One of those ethics is the drive to turn every negative into a positive, and then when shit starts flying, being prepared to lead from the front.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 280,,"true leader stays exhausted, abhors arrogance, and never looks down on the weakest link. He fights for his men and leads by example. That’s what it meant to be uncommon among uncommon. It meant being one of the best and helping your men find their best too.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 282,,"an opportunity to be uncommon. Not that anybody else was watching, but when it comes to mindset, it doesn’t matter where other people’s attention lies. I had my own uncommon standards to live up to.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 283,,But what put distance between me and almost everybody else in that platoon is that I didn’t let my desire for comfort rule me. I was determined to go to war with myself to find more because I believed it was our duty to maintain a BUD/S mentality and prove ourselves every day., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 284,,"And I claimed that metaphor for myself, because it’s always and forever true. No matter what you or I achieve, in sports, business, or life, we can’t be satisfied. Life is too dynamic a game. We’re either getting better or we’re getting worse. Yes, we need to celebrate our victories. There’s power in victory that’s transformative, but after our celebration we should dial it down, dream up new training regimens, new goals, and start at zero the very next day.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 284,,"Always be willing to embrace ignorance and become the dumb fuck in the classroom again, because that is the only way to expand your body of knowledge and body of work. It’s the only way to expand your mind.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 287,,"know that your supposed superiority is a figment of your own ego. So don’t lord it over them, because it won’t help you advance as a team or as an individual in your field. Instead of getting angry that your colleagues can’t keep up, help pick your colleagues up and bring them with you!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 292,,"I’d given it everything I had and when you handle business like that, your effort will not go unnoticed.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 322,,"We need to surround ourselves with people who will tell us what we need to hear, not what we want to hear, but at the same time not make us feel we’re up against the impossible.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 323,,Don’t focus on what you think you deserve. Take aim on what you are willing to earn!, David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 325,,"We are all guilty of allowing so-called experts, or just people who have more experience in a given field than we do, to cap our potential.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 325,,"If I was going to be the next athlete to smash popular perception, I’d need to stop listening to doubt, whether it streamed in from the outside or bubbled up from within, and the best way to do that was to decide that the pull-up record was already mine. I didn’t know when it would officially become mine. It might be in two months or twenty years, but once I decided it belonged to me and decoupled it from the calendar, I was filled with confidence and relieved of any and all pressure because my task morphed from trying to achieve the impossible into working toward an inevitability.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 328,,"There’s a lot of potential in those moments of pain. And if you figure out how to piece that picture back together, you’ll find a hell of a lot of power there too!", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 345,,Joe Hippensteel., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
